lang,langType,territory,revGenDate,defs,dftLang
af,af,,,10,False
af-NA,af,NA,,2,False
af-ZA,af,ZA,,0,False
agq,agq,,,6,False
agq-CM,agq,CM,,0,False
ak,ak,,,6,False
ak-GH,ak,GH,,0,False
am,am,,,10,False
am-ET,am,ET,,0,False
ar,ar,,,11,False
ar-001,ar,1,,0,False
ar-AE,ar,AE,,3,False
ar-BH,ar,BH,,1,False
ar-DJ,ar,DJ,,1,False
ar-DZ,ar,DZ,,3,False
ar-EG,ar,EG,,2,False
ar-EH,ar,EH,,1,False
ar-ER,ar,ER,,1,False
ar-IL,ar,IL,,2,False
ar-IQ,ar,IQ,,2,False
ar-JO,ar,JO,,2,False
ar-KM,ar,KM,,2,False
ar-KW,ar,KW,,1,False
ar-LB,ar,LB,,3,False
ar-LY,ar,LY,,4,False
ar-MA,ar,MA,,3,False
ar-MR,ar,MR,,3,False
ar-OM,ar,OM,,1,False
ar-PS,ar,PS,,2,False
ar-QA,ar,QA,,1,False
ar-SA,ar,SA,,4,False
ar-SD,ar,SD,,1,False
ar-SO,ar,SO,,2,False
ar-SS,ar,SS,,1,False
ar-SY,ar,SY,,2,False
ar-TD,ar,TD,,1,False
ar-TN,ar,TN,,3,False
ar-YE,ar,YE,,1,False
as,as,,,10,False
as-IN,as,IN,,0,False
asa,asa,,,6,False
asa-TZ,asa,TZ,,0,False
ast,ast,,,9,False
ast-ES,ast,ES,,0,False
az,az,,,10,False
az-Cyrl,az,,,5,False
az-Cyrl-AZ,az,AZ,,0,False
az-Latn,az,,,0,False
az-Latn-AZ,az,AZ,,0,False
bas,bas,,,6,False
bas-CM,bas,CM,,0,False
be,be,,,10,False
be-BY,be,BY,,0,False
bem,bem,,,6,False
bem-ZM,bem,ZM,,0,False
bez,bez,,,6,False
bez-TZ,bez,TZ,,0,False
bg,bg,,,10,False
bg-BG,bg,BG,,0,False
bm,bm,,,6,False
bm-ML,bm,ML,,0,False
bn,bn,,,10,False
bn-BD,bn,BD,,0,False
bn-IN,bn,IN,,1,False
bo,bo,,,5,False
bo-CN,bo,CN,,0,False
bo-IN,bo,IN,,2,False
br,br,,,9,False
br-FR,br,FR,,0,False
brx,brx,,,7,False
brx-IN,brx,IN,,0,False
bs,bs,,,11,False
bs-Cyrl,bs,,,9,False
bs-Cyrl-BA,bs,BA,,0,False
bs-Latn,bs,,,0,False
bs-Latn-BA,bs,BA,,0,False
ca,ca,,,11,False
ca-AD,ca,AD,,0,False
ca-ES,ca,ES,,0,False
ca-ES-VALENCIA,ca,ES,,2,False
ca-FR,ca,FR,,1,False
ca-IT,ca,IT,,0,False
ccp,ccp,,,10,False
ccp-BD,ccp,BD,,0,False
ccp-IN,ccp,IN,,0,False
ce,ce,,,6,False
ce-RU,ce,RU,,0,False
cgg,cgg,,,6,False
cgg-UG,cgg,UG,,0,False
chr,chr,,,10,False
chr-US,chr,US,,0,False
ckb,ckb,,,5,False
ckb-IQ,ckb,IQ,,0,False
ckb-IR,ckb,IR,,1,False
cs,cs,,,11,False
cs-CZ,cs,CZ,,0,False
cu,cu,,,9,False
cu-RU,cu,RU,,0,False
cy,cy,,,10,False
cy-GB,cy,GB,,0,False
da,da,,,11,False
da-DK,da,DK,,0,False
da-GL,da,GL,,0,False
dav,dav,,,6,False
dav-KE,dav,KE,,0,False
de,de,,,11,False
de-AT,de,AT,,4,False
de-BE,de,BE,,0,False
de-CH,de,CH,,6,False
de-DE,de,DE,,0,False
de-IT,de,IT,,1,False
de-LI,de,LI,,3,False
de-LU,de,LU,,3,False
dje,dje,,,6,False
dje-NE,dje,NE,,0,False
dsb,dsb,,,9,False
dsb-DE,dsb,DE,,0,False
dua,dua,,,6,False
dua-CM,dua,CM,,0,False
dyo,dyo,,,6,False
dyo-SN,dyo,SN,,0,False
dz,dz,,,8,False
dz-BT,dz,BT,,0,False
ebu,ebu,,,6,False
ebu-KE,ebu,KE,,0,False
ee,ee,,,8,False
ee-GH,ee,GH,,0,False
ee-TG,ee,TG,,1,False
el,el,,,11,False
el-CY,el,CY,,0,False
el-GR,el,GR,,0,False
en,en,,,11,False
en-001,en,1,,5,False
en-150,en,150,,2,False
en-AG,en,AG,,1,False
en-AI,en,AI,,2,False
en-AS,en,AS,,0,False
en-AT,en,AT,,1,False
en-AU,en,AU,,8,False
en-BB,en,BB,,1,False
en-BE,en,BE,,2,False
en-BI,en,BI,,1,False
en-BM,en,BM,,1,False
en-BS,en,BS,,2,False
en-BW,en,BW,,2,False
en-BZ,en,BZ,,3,False
en-CA,en,CA,,6,False
en-CC,en,CC,,2,False
en-CH,en,CH,,1,False
en-CK,en,CK,,2,False
en-CM,en,CM,,1,False
en-CX,en,CX,,2,False
en-CY,en,CY,,0,False
en-DE,en,DE,,1,False
en-DG,en,DG,,1,False
en-DK,en,DK,,2,False
en-DM,en,DM,,1,False
en-ER,en,ER,,2,False
en-FI,en,FI,,3,False
en-FJ,en,FJ,,1,False
en-FK,en,FK,,2,False
en-FM,en,FM,,0,False
en-GB,en,GB,,5,False
en-GD,en,GD,,1,False
en-GG,en,GG,,2,False
en-GH,en,GH,,2,False
en-GI,en,GI,,2,False
en-GM,en,GM,,2,False
en-GU,en,GU,,1,False
en-GY,en,GY,,2,False
en-HK,en,HK,,1,False
en-IE,en,IE,,1,False
en-IL,en,IL,,1,False
en-IM,en,IM,,2,False
en-IN,en,IN,,4,False
en-IO,en,IO,,1,False
en-JE,en,JE,,2,False
en-JM,en,JM,,2,False
en-KE,en,KE,,2,False
en-KI,en,KI,,1,False
en-KN,en,KN,,1,False
en-KY,en,KY,,2,False
en-LC,en,LC,,1,False
en-LR,en,LR,,2,False
en-LS,en,LS,,2,False
en-MG,en,MG,,2,False
en-MH,en,MH,,1,False
en-MO,en,MO,,2,False
en-MP,en,MP,,1,False
en-MS,en,MS,,2,False
en-MT,en,MT,,2,False
en-MU,en,MU,,2,False
en-MW,en,MW,,2,False
en-MY,en,MY,,2,False
en-NA,en,NA,,2,False
en-NF,en,NF,,2,False
en-NG,en,NG,,2,False
en-NL,en,NL,,1,False
en-NR,en,NR,,2,False
en-NU,en,NU,,2,False
en-NZ,en,NZ,,3,False
en-PG,en,PG,,1,False
en-PH,en,PH,,1,False
en-PK,en,PK,,2,False
en-PN,en,PN,,2,False
en-PR,en,PR,,0,False
en-PW,en,PW,,1,False
en-RW,en,RW,,2,False
en-SB,en,SB,,1,False
en-SC,en,SC,,2,False
en-SD,en,SD,,1,False
en-SE,en,SE,,3,False
en-SG,en,SG,,2,False
en-SH,en,SH,,2,False
en-SI,en,SI,,1,False
en-SL,en,SL,,2,False
en-SS,en,SS,,2,False
en-SX,en,SX,,2,False
en-SZ,en,SZ,,2,False
en-TC,en,TC,,0,False
en-TK,en,TK,,2,False
en-TO,en,TO,,1,False
en-TT,en,TT,,1,False
en-TV,en,TV,,2,False
en-TZ,en,TZ,,2,False
en-UG,en,UG,,2,False
en-UM,en,UM,,0,False
en-US,en,US,,0,False
en-US-POSIX,en,US,,2,False
en-VC,en,VC,,1,False
en-VG,en,VG,,0,False
en-VI,en,VI,,0,False
en-VU,en,VU,,1,False
en-WS,en,WS,,1,False
en-ZA,en,ZA,,3,False
en-ZM,en,ZM,,2,False
en-ZW,en,ZW,,1,False
eo,eo,,,8,False
eo-001,eo,1,,0,False
es,es,,,11,False
es-419,es,419,,7,False
es-AR,es,AR,,4,False
es-BO,es,BO,,3,False
es-BR,es,BR,,1,False
es-BZ,es,BZ,,1,False
es-CL,es,CL,,4,False
es-CO,es,CO,,4,False
es-CR,es,CR,,4,False
es-CU,es,CU,,1,False
es-DO,es,DO,,5,False
es-EA,es,EA,,0,False
es-EC,es,EC,,3,False
es-ES,es,ES,,0,False
es-GQ,es,GQ,,1,False
es-GT,es,GT,,4,False
es-HN,es,HN,,3,False
es-IC,es,IC,,0,False
